scheme,operator_type,loop_order,to_parton,from_parton,Lb_power,ellzeta_power,projected_basis,z_coefficient
CSS2,PDF,0,u,g,0,0,deltaT,c_PDF_0_u_from_g_Lb0(z)
CSS2,PDF,0,u,u,0,0,deltaT,c_PDF_0_u_from_u_Lb0(z)
CSS2,PDF,1,u,g,0,0,deltaT,c_PDF_1_u_from_g_Lb0(z)
CSS2,PDF,1,u,g,1,0,frakL_0,c_PDF_1_u_from_g_Lb1(z)
CSS2,PDF,1,u,g,2,0,frakL_1,c_PDF_1_u_from_g_Lb2(z)
CSS2,PDF,1,u,u,0,0,deltaT,c_PDF_1_u_from_u_Lb0(z)
CSS2,PDF,1,u,u,1,0,frakL_0,c_PDF_1_u_from_u_Lb1(z)
CSS2,PDF,1,u,u,2,0,frakL_1,c_PDF_1_u_from_u_Lb2(z)
CSS2,PDF,2,u,g,0,0,deltaT,c_PDF_2_u_from_g_Lb0(z)
CSS2,PDF,2,u,g,1,0,frakL_0,c_PDF_2_u_from_g_Lb1(z)
CSS2,PDF,2,u,g,2,0,frakL_1,c_PDF_2_u_from_g_Lb2(z)
CSS2,PDF,2,u,g,3,0,frakL_2,c_PDF_2_u_from_g_Lb3(z)
CSS2,PDF,2,u,g,4,0,frakL_3,c_PDF_2_u_from_g_Lb4(z)
CSS2,PDF,2,u,u,0,0,deltaT,c_PDF_2_u_from_u_Lb0(z)
CSS2,PDF,2,u,u,1,0,frakL_0,c_PDF_2_u_from_u_Lb1(z)
CSS2,PDF,2,u,u,2,0,frakL_1,c_PDF_2_u_from_u_Lb2(z)
CSS2,PDF,2,u,u,3,0,frakL_2,c_PDF_2_u_from_u_Lb3(z)
CSS2,PDF,2,u,u,4,0,frakL_3,c_PDF_2_u_from_u_Lb4(z)
CSS2,PDF,3,u,g,0,0,deltaT,c_PDF_3_u_from_g_Lb0(z)
CSS2,PDF,3,u,g,1,0,frakL_0,c_PDF_3_u_from_g_Lb1(z)
CSS2,PDF,3,u,g,2,0,frakL_1,c_PDF_3_u_from_g_Lb2(z)
CSS2,PDF,3,u,g,3,0,frakL_2,c_PDF_3_u_from_g_Lb3(z)
CSS2,PDF,3,u,g,4,0,frakL_3,c_PDF_3_u_from_g_Lb4(z)
CSS2,PDF,3,u,g,5,0,frakL_4,c_PDF_3_u_from_g_Lb5(z)
CSS2,PDF,3,u,g,6,0,frakL_5,c_PDF_3_u_from_g_Lb6(z)
CSS2,PDF,3,u,u,0,0,deltaT,c_PDF_3_u_from_u_Lb0(z)
CSS2,PDF,3,u,u,1,0,frakL_0,c_PDF_3_u_from_u_Lb1(z)
CSS2,PDF,3,u,u,2,0,frakL_1,c_PDF_3_u_from_u_Lb2(z)
CSS2,PDF,3,u,u,3,0,frakL_2,c_PDF_3_u_from_u_Lb3(z)
CSS2,PDF,3,u,u,4,0,frakL_3,c_PDF_3_u_from_u_Lb4(z)
CSS2,PDF,3,u,u,5,0,frakL_4,c_PDF_3_u_from_u_Lb5(z)
CSS2,PDF,3,u,u,6,0,frakL_5,c_PDF_3_u_from_u_Lb6(z)
